Código,Especie
0101,Cistus spp. 
0102,Erica spp. 
0103,Otras papilionoideas altas 
0104,Otras papilionoideas bajas 
0105,Quercus coccifera 
0106,Calluna vulgaris 
0107,Arctostaphylos uva-ursi 
0108,Rhododendron spp. 
0109,Lavandula spp. 
0110,Daphne spp. 
0111,Pistacia lentiscus 
0112,Ligustrum vulgare 
0113,Phillyrea angustifolia 
0114,Rosmarinus officinalis 
0115,Viburnum spp. 
0116,Berberis vulgaris 
0117,Halimium spp. 
0118,Cotoneaster spp. 
0119,Rosa spp. 
0120,Daboecia cantabrica 
0121,Rubus spp. 
0122,Rhamnus spp. 
0123,Zizyphus lotus 
0124,Bupleurum spp. 
0125,Anthyllis cytisoides 
0126,Artemisia spp. 
0127,Santolina rosmarinifolia 
0128,Helichrysum stoechas 
0129,Thymus spp. 
0130,Ruscus aculeatus 
0131,Ribes spp. 
0132,Clematis spp. 
0133,Atriplex spp. 
0134,Spiraea spp. 
0135,Osyris spp. 
0136,Chamaespartium tridentatum 
0137,Vaccinium myrtillus 
0138,Asparagus spp. 
0139,Coriaria myrtifolia 
0140,Globularia alypum 
0141,Hedera helix 
0142,Helianthemum spp. 
0143,Jasminum fruticans 
0144,Lonicera spp. 
0145,Medicago arborea 
0146,Nerium oleander 
0147,Paliurus spina-christi 
0148,Prunus mahaleb 
0149,Smilax aspera 
0150,Ampelodesmos mauritanica 
0151,Thymelaea spp. 
0152,Coronilla emerus 
0153,Cytisophyllum sessilifolium 
0154,Dorycnium pentaphyllum 
0155,Genista spp. 
0156,Ononis tridentata 
0157,Ulex parviflorus 
0158,Maytenus canariensis 
0159,Artemisia canariensis 
0160,Chamaecytisus proliferus 
0161,Echium sp. 
0162,Euphorbia sp. 
0163,Hypericum canariensis 
0164,Kleinia neriifolia 
0165,Teline sp. 
0166,Rumex lunaria 
0170,Vella spp. 
0171,Phlomis spp.  
0172,Corema spp. 
0173,Ephedra spp. 
0174,Vitis vinifera 
0175,Anagyris spp. 
0176,Staurucanthus boivinii 
0177,Echinospartum spp.  
0178,Dittrichia viscosa 
0179,Teucrium fruticans 
0179,Teucrium spp. 
