"","Estadillo","calidad","calidad_sd","conte_invasora","riquesa_total","riquesa_invasores","provincia"
"1",1,2.4419014084507,0.920166715282267,"No",18,0,50
"2",2,2.47608695652174,0.986551128769813,"No",27,0,50
"3",3,2.41280353200883,0.838516572986687,"No",19,0,50
"4",4,2.36462093862816,0.816142040784683,"No",24,0,50
"5",5,2.4176245210728,0.855105312127942,"No",28,0,50
"6",6,2.3800539083558,0.835146312218383,"No",31,0,50
"7",7,2.33959537572254,0.767648208730033,"No",25,0,50
"8",8,2.38075313807531,0.822512040235188,"No",21,0,50
"9",9,2.27491408934708,0.735167438752918,"No",23,0,50
"10",10,2.32516339869281,0.801280157887433,"No",27,0,47
"11",11,2.44055944055944,0.929172108556201,"No",21,0,50
"12",12,2.44692737430168,0.941118568917033,"No",24,0,50
"13",13,2.31818181818182,0.654762901628382,"No",28,0,50
"14",14,2.35315985130112,0.882943870742846,"No",27,0,50
"15",15,2.4504132231405,0.912088038951214,"No",20,0,50
"16",16,2.58634020618557,1.0474024436429,"No",25,0,50
"17",17,2.45645161290323,0.911091406039452,"No",25,0,50
"18",18,2.38639652677279,0.857897773842974,"No",28,0,50
"19",19,2.31634446397188,0.770332373487389,"No",20,0,50
"20",20,2.39497041420118,0.94244984101388,"No",21,0,50
"21",21,2.4281098546042,0.888210163956597,"No",22,0,50
"22",22,2.3578431372549,0.751030228525487,"No",29,0,50
"23",23,2.22162162162162,0.594409181745989,"No",23,0,50
"24",24,2.30281690140845,0.737753199295523,"No",23,0,50
"25",25,2.28571428571429,0.667508272938915,"No",21,0,49
"26",26,2.41714285714286,0.971845644468708,"No",19,0,50
"27",27,2.45535714285714,0.959217899274525,"No",23,0,50
"28",28,2.64085667215815,1.07146206095694,"No",30,0,50
"29",29,2.33965844402277,0.770414360042407,"No",21,0,50
"30",30,2.5173116089613,0.939607876662049,"No",29,0,50
"31",31,2.33136094674556,0.715723045886692,"No",28,0,50
"32",32,2.50433275563258,0.931917795715022,"No",24,0,50
"33",33,2.33858267716535,0.679023227472273,"No",28,0,50
"34",34,2.32490974729242,0.721055391711114,"No",25,0,50
"35",35,2.24012638230648,0.640782736696151,"No",26,0,48
"36",36,2.26045627376426,0.683572534896866,"No",20,0,47
"37",37,2.39789964994166,0.783381881435288,"No",32,0,50
"38",38,2.24531024531025,0.701255334227245,"No",25,0,50
"39",39,2.23398692810458,0.708139236195378,"No",24,0,50
"40",40,2.25211505922166,0.578476749274162,"No",28,0,50
"41",41,2.55135135135135,0.937858462382769,"No",26,0,50
"42",42,2.48181818181818,0.846399784316424,"No",28,0,50
"43",43,2.45846645367412,0.853622987315152,"No",28,0,50
"44",44,2.39915966386555,0.986045337624888,"No",25,0,50
"45",45,2.42062415196744,0.966565041510522,"No",23,0,50
"46",46,2.26290322580645,0.604435375446668,"No",27,0,50
"47",47,2.36786188579017,0.793174219576775,"Yes",22,1,50
"48",48,2.57196029776675,1.17918084143479,"No",22,0,50
"49",49,2.28412698412698,0.743964875405202,"No",23,0,49
"50",50,2.41313269493844,0.931366595075606,"No",27,0,50
"51",51,2.37954939341421,0.869904491527071,"No",28,0,49
